unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent
perrin1,CC(=N)N,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)",pKaH1,12.4,25,"C=0.04, f+/- taken equal f+/-(KCl)",E3bh,Uncertain,S29,,,"methane, amidino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin1,CC(=N)N,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)",pKaH1,12.1,22.5,"C=0.04, f+/- taken equal f+/-(KCl)",O5,Uncertain,G1,,,"methane, amidino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,22.5+2.5,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,10.657,25,I=0.03 to 1.5,E1b,Reliable,H31,,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,11.496,0,I=0.05 to 0.2,E2b,Reliable,E38,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,11.13,10,I=0.05 to 0.2,E2b,Reliable,E38,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,10.787,20,I=0.05 to 0.2,E2b,Reliable,E38,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,10.466,30,I=0.05 to 0.2,E2b,Reliable,E38,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,10.161,40,I=0.05 to 0.2,E2b,Reliable,E38,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,9.876,50,I=0.05 to 0.2,E2b,Reliable,E38,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,10.62,25,"(m), K=0.7, I=0.0006 to 0.02","C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKb1,2.92,25,at 1000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,1000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKb1,2.59,25,at 2000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,2000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKb1,2.33,25,at 3000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,3000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,9.97,45,(m),"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKb1,3.04,45,at 1000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,1000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKb1,2.7,45,at 2000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results,"Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,2000 (atm),B,,
