code,perrin_source,perrin_supp_source,serjeant_source
A1,"J. Abildgaard and H. Baggesgaard-Rasmussen. Dansk. Tidsskr. Farm. 4, 30 (1930); CA 24, 2834.","R.L. Adelman. J. Org. Chem. 29, 1837 (1964).","G. Ackermann, D. Hesse and P. Volland, Z. Anorg. Allg. Chem. 377, 92 (1970)."
A1a,,,"T. Adachi and A. Ejima, Eisei Shikenjo Hokoku No. 81, 20 (1963); CA 62, 8439d."
A2,"J. E. Ablard, D. S. McKinney, and J. C. Warner. J. Am. Chem. Soc. 62, 2181 (1940).","M.K. Akhmedli, E.A. Bashirov and A.M. Sadykova. Zh. Neorg. Khim. 12, 476 (1967); CA 67, 15441b.","L. P. Adamovich and M. S. Kravchenko, J. Anal. Chem. USSR (Engl. Transl.) 25, 1434 (1970)."
A3,"R. J. Abraham, E. Bullock, and S. S. Mitra. Can. J. Chem. 37, 1859 (1959).","G. Aksnes and J. Songstad. Acta. Chem. Scand. 19, 888 (1965).","L. P. Adamovich and A. P. Mirnaya, J. Anal. Chem. USSR (Engl. Transl.) 18, 259 (1963)."
A4,"H. Ackermann and G. Schwarzenbach. Helv. Chim. Acta 32, 1543 (1949).","A. Albert. J. Chem. Soc. 1963, 4653.","L. P. Adamovich, A. P. Mirnaya and A. V. Starchenko, J. Anal. Chem. USSR (Engl. Transl.) 18, 369 (1963)."
A5,"R. Adams, M. Carmack, and J. E. Mahan. J. Am. Chem. Soc. 64, 2593 (1942).","A. Albert. J. Chem. Soc., B 1966, 427.","L. P. Adamovich, O. V. Morgyl-Fleshkova and B. V. Yutsis, J. Anal. Chem. USSR (Engl. Transl.) 17, 673 (1962)."
A6,"R. Adams and J. E. Mahan. J. Am. Chem. Soc. 64, 2588 (1942).","A. Albert. J. Chem. Soc., B 1966, 438.","G. E. Adams, J. L. Redpath, R. H. Bisby and R. B. Cundall, J. Chem. Soc., Faraday Trans. l 69, 1608 (1973)."
A7,"D. W. Adamson, P. A. Barrett, J. W. Billinghurst, and T. S. G. Jones. J. Chem. Soc. 1957, 2315.","A. Albert. J. Chem. Soc., C 1968, 2076.","H. G. Adolph and M. J. Kamlet, J. Am. Chem. Soc. 88, 4761 (1966)."
A8,"T. K. Adler and A. Albert. J. Chem. Soc. 1960, 1794.","A. Albert. J. Chem. Soc., C 1969, 152.","S. P. Agarwal and M. I. Blake, J. Pharm. Sci. 57, 1434 (1968)."
A9,"A. Agren. Acta Chem. Scand. 9, 49 (1955).","A. Albert. J. Chem. Soc., C 1969, 2379.","J. Aggett and Eng Sing Ow, Aust. J. Chem. 24, 1839 (1971)."
A10,"C. Ainsworth. J. Am. Chem. Soc. 80, 965 (1958).","A. Albert. Chem. & Ind. (London) 1970, 365.","Y. K. Agrawal and J. P. Shukla, Aust. J. Chem. 26, 913 (1973)."
A11,"G. Akerlof. J. Am. Chem. Soc. 50, 733 (1928).",A. Albert. Unpublished data.,"A. Agren, Acta Chem. Scand. 9, 49 (1955)."
A12,"A. Albert. Biochem. J. 47, 531 (1950).","A. Albert and W.L.F. Armarego. J. Chem. Soc. 1963, 4237.","A. Agren and G. Schwarzenbach, Helv. Chim. Acta 38, 1920 (1955)."
A13,"A. Albert. The Acridines, p. 114, Edward Arnold and Co., London (1951).","A. Albert and G.B. Barlin. J. Chem. Soc. 1963, 5156.",No entry.
A14,"A. Albert. Biochem. J. 50, 690 (1952).","A. Albert and G.B. Barlin. J. Chem. Soc. 1963, 5737.","H. K. Akhmedli and F. B. Imamverdieva, Azerb. Khim. Zh, 1966, 122; CA 66, 6127q."
A15,"A. Albert. Biochem. J. 54, 646 (1953).","A. Albert and G. Catterall. J. Chem. Soc., C 1967, 1533.","G. Aksnes and S. I. Snaprud, Acta Chem. Scand. 15, 457 (1961)."
A16,"A. Albert. Experientia 9, 370 (1953).","A. Albert and J. Clark. J. Chem. Soc. 1964, 1666.","A Albert, Biochem. J. 50, 690 (1952)."
A17,"A. Albert. Nature 172, 201 (1953).","A. Albert and J. Clark. J. Chem. Soc. 1965, 27.","A. Albert, Biochem. J. 54, 646 (1953)."
A18,"A. Albert. Brit. J. Pharmacol. 10, 316 (1955).","A. Albert and J.J. McCormack. J. Chem. Soc. 1965, 6930.","A. Albert, J. Chem. Soc. 1960, 1020."
A19,"A. Albert. J. Chem. Soc. 1955, 2690.","A. Albert and J.J. McCormack. J. Chem. Soc., C 1966, 1117.","A. Albert, J. Chem. Soc. (B) 1966, 438."
A20,"A. Albert. In Special Publication No. 3, p. 124, The Chemical Society, Londoa (1955).","A. Albert and J.J. McCormack. J. Chem. Soc., C 1968, 63.","A. Albert, J. Chem. Soc., Perkin Trans. 1 1973, 1634."
A21,"A. Albert. Nature 177, 525 (1956).","A. Albert and K. Ohta. J. Chem. Soc., C 1970, 1540.","A. Albert, J. Chem. Soc., Perkin Trans. 1 1973, 2659."
A22,"A. Albert. J. Chem. Soc. 1960, 1020.","A. Albert and E.P. Serjeant. J. Chem. Soc. 1964, 3357.","A. Albert and D. J. Brown, J. Chem. Soc. 1953, 74."
A23,"A. Albert. J. Chem. Soc. 1960, 1790.","A. Albert and K. Tratt. J. Chem. Soc., C 1968, 344.","A. Albert and D. J. Brown, J. Chem. Soc. 1954, 2060."
A24,"A. Albert. J. Chem. Soc. 1960, 4705.","A. Albert and R.E. Willette. J. Chem. Soc. 1964, 4063.","A. Albert, D. J. Brown and G. Cheeseman, J. Chem. Soc. 1951, 474."
A25,A. Albert. Unpublished data.,"A. Albert and H. Yamamoto. J. Chem. Soc., B 1966, 956.","A. Albert, D. J. Brown and G. Cheeseman, J. Chem. Soc. 1952, 4219."
A26,"A. Albert, W. L. F. Armarego, and E. Spinner. J. Chem. Soc. 1961, 2689.","A. Albert and H. Yamamoto. J. Chem. Soc., C 1968, 2292.","A. Albert, D. J. Brown and H. C. S. Wood, J. Chem. Soc. 1954, 3832."
A27,"A. Albert, W. L. F. Armarego, and E. Spinner. J. Chem. Soc. 1961, 5267.","R.W. Alder, P.S. Bowman, W.R.S. Steele and D.R. Winterman. Chem. Comm. 1968, 723.","A. Albert and C. F. Howell, J. Chem. Soc. 1962, 1591."
A28,"A. Albert and G. B. Barlin. J. Chem. Soc. 1959, 2384.","E.T. Allen. J. Am. Chem. Soc. 25, 421 (1903).","A. Albert, Y. Inoue and D. D. Perrin, J. Chem. Soc. 1963, 5151."
A29,"A. Albert and G. B. Barlin. J. Chem. Soc. 1962, 3129.","J.A. Alduan. Rec. Acad. Cienc. Exact., Fis.-Quim. Nat. Zaragoza 15, 41 (1960); CA 59, 14549f.","A. Albert, J. H. Lister and C. Pedersen, J. Chem. Soc. 1956, 4612."
A30,"A. Albert and D. J. Brown. J. Chem. Soc. 1954, 2060.","D.J. Alnar, B.C. Lansbury and A.G. Smeeth. J. Chem. Soc., A 1968, 417.","A. Albert and J. J. McCormack, J. Chem. Soc. (C) 1968, 63."
